section,name,value,evidence,suggestion
summary,判定,三阶低通系统,,
summary,置信度,0.98,,
summary,Top3,低通/3阶 0.98 / 低通/2阶 0.67 / 低通/1阶 0.59,,
summary,关键频率,截止频率 843.2 Hz,,
summary,测量健康,A 可直接验收（90/100）,,
summary,测量质量,无削顶；输入RMS中位数 0.4200 V；输出RMS中位数 0.0050 V；PA1 DC约 1.639 V；高频阻带可能接近噪声底,,
summary,AI结论,AI 可以判断它更像 三阶低通系统，但模板拟合误差 3.31 dB 偏大；这组数据适合展示“AI 发现模型不够可信并要求补扫/扩展扫频”。,,
summary,控制校正,未启用,,
summary,测量补扫,模型拟合 RMSE=3.31 dB 偏大，建议加密关键频段；围绕低通截止频率 843 Hz 加密扫频，建议命令 SWEEP 505 2110 50 0.6。,,
summary,故障证据,暂未触发故障知识库规则,,
summary,下一步建议,模型拟合 RMSE=3.31 dB 偏大，建议加密关键频段；围绕低通截止频率 843 Hz 加密扫频，建议命令 SWEEP 505 2110 50 0.6。,,
candidate,lowpass/3,0.9833,特征分=1.00; 拟合分=0.92; 传统分析分=1.00; 传统可靠锚定; R2=0.970,
candidate,lowpass/2,0.6742,特征分=0.92; 拟合分=0.76; 传统分析分=0.96; 传统可靠锚定; R2=0.911,
candidate,lowpass/1,0.5928,特征分=0.98; 拟合分=0.15; 传统分析分=0.96; 传统可靠锚定; R2=0.632,
candidate,unknown/1,0.066,特征分=0.12; 拟合分=0.00; 传统分析分=0.00; 传统可靠锚定,
candidate,bandstop/2,0.06176,特征分=0.18; 拟合分=0.51; 传统分析分=0.00; 传统可靠锚定; R2=0.801,
ai_practical,conclusion,AI 可以判断它更像 三阶低通系统，但模板拟合误差 3.31 dB 偏大；这组数据适合展示“AI 发现模型不够可信并要求补扫/扩展扫频”。,,
experiment_recommendation,,下一步直接点“一键智能补扫”，执行 SWEEP 505 2110 50 0.6。,,
experiment_recommendation,,若要演示 AI 的实用性，换 RC 值做对照：R 或 C 增大 2 倍，理论截止频率约减半；R 或 C 减小 2 倍，理论截止频率约翻倍。,,
experiment_recommendation,,若只演示滤波器识别，保持自动控制校正页关闭或不讲控制段，避免把滤波器验收和开环控制混在一起。,,
measurement_suggestion,,模型拟合 RMSE=3.31 dB 偏大，建议加密关键频段,,
measurement_suggestion,,围绕低通截止频率 843 Hz 加密扫频，建议命令 SWEEP 505 2110 50 0.6。,,
